Starting IRSC sequence at 03:47:00Z on MJD 57591

RUN PARAMETERS FOR THIS RUN
 CX =  161  Center of camera in image, x
 CY =  123  Center of camera in image, y
 RC =   15  Outer radius of image of camera
 RO =  100  Outer radius of mask region
 RE =  135  Outer 'useful' radius
 RM =  145  Radius of mirror in image 
 NF =  256  Number of frames avgd per exposure
 SL =  127  Sky level in gifs
NAV =   16  Number of exposures avgd for sky subtr
IVL =   30  Interval in seconds between frames
SHF =    3  Bits to downshift raw images for processing


raw fits file dtb  dte  sky	sig
cR034700.fit   0     4   399  0.00
cR034730.fit   0     2   330  0.00
cR034800.fit   0     3   330  0.00
cR034830.fit   0     3   330  0.00
cR034900.fit   0     3   330  0.00
cR034930.fit   0     3   330  0.00
cR035000.fit   0     3   330  0.00
cR035030.fit   0     3   330  0.00
cR035100.fit   0     2   330  0.00
cR035130.fit   0     3   330  0.00
cR035200.fit   0     2   330  0.00
cR035230.fit   0     3   330  0.00
cR035300.fit   0     3   330  0.00
cR035330.fit   0     2   330  0.00
cR035400.fit   0     3   330  0.00
cR035430.fit   0     4   330  0.00
cR035500.fit   0     8   330  3.47
cR035530.fit   0     3   330  3.62
cR035600.fit   0     4   330  2.94
cR035630.fit   0     3   330  2.92
cR035700.fit   0     4   330  3.01
cR035730.fit   0     3   330  2.99
cR035800.fit   0     4   330  3.14
cR035830.fit   0     4   330  3.38
cR035900.fit   0     4   330  3.67
cR035930.fit   0     4   330  3.68
cR040000.fit   0     5   330  3.61
cR040030.fit   0     3   330  3.50
cR040100.fit   0     4   330  3.23
cR040130.fit   0     4   330  2.89
cR040200.fit   0     4   330  2.48
cR040230.fit   0     4   330  2.56
cR040300.fit   0     4   330  2.43
cR040330.fit   0     4   330  2.64
cR040400.fit   0     4   330  2.77
cR040430.fit   0     4   330  2.95
cR040500.fit   0     4   330  3.11
cR040530.fit   0     4   330  3.18
cR040600.fit   0     4   330  3.02
cR040630.fit   0     4   330  3.09
cR040700.fit   0     4   330  3.00
cR040730.fit   0     4   330  2.86
cR040800.fit   0     4   330  3.04
cR040830.fit   0     4   330  2.99
cR040900.fit   0     5   330  2.69
cR040930.fit   0     4   330  2.94
cR041000.fit   0     4   330  2.87
cR041030.fit   0     4   330  2.77
cR041100.fit   0     4   330  2.77
cR041130.fit   0     4   330  2.72
cR041200.fit   0     5   330  2.69
cR041230.fit   0     4   330  2.48
cR041300.fit   0     4   331  2.51
cR041330.fit   0     4   331  2.67
cR041400.fit   0     4   331  3.08
cR041430.fit   0     4   330  3.17
cR041500.fit   0     5   330  3.26
cR041530.fit   0     4   330  3.51
cR041600.fit   0     5   331  3.44
cR041630.fit   0     4   330  3.52
cR041700.fit   0     4   330  3.53
cR041730.fit   0     4   330  3.37
cR041800.fit   0     5   330  3.06
cR041830.fit   0     4   331  3.18
cR041900.fit   0     4   330  2.84
cR041930.fit   0     4   330  2.47
cR042000.fit   0     6   330  2.44
cR042030.fit   0     4   331  2.07
cR042100.fit   0     7   330  1.68
cR042130.fit   0     4   330  1.96
cR042200.fit   0     4   330  1.91
cR042230.fit   0     5   330  2.04
cR042300.fit   0     5   330  2.32
cR042330.fit   0     4   331  2.45
cR042400.fit   0     4   330  2.98
cR042430.fit   0     4   330  3.05
cR042500.fit   0     4   330  3.00
cR042530.fit   0     4   330  3.00
cR042600.fit   0     5   331  2.81
cR042630.fit   0     4   331  2.58
cR042700.fit   0     4   330  2.08
cR042730.fit   0     4   331  1.87
cR042800.fit   0     4   331  1.88
cR042830.fit   0     4   330  2.19
cR042900.fit   0     5   331  2.57
cR042930.fit   0     4   331  2.65
cR043000.fit   0     4   330  3.19
cR043030.fit   0     4   331  3.25
cR043100.fit   0     4   330  2.77
cR043130.fit   0     4   330  2.96
cR043200.fit   0     4   330  2.65
cR043230.fit   0     5   331  2.43
cR043300.fit   0     4   330  2.31
cR043330.fit   0     4   331  2.17
